                                                     human_metadata_70.pkl  \
soma_joinid (int64)                                                 499968   
dataset_id (category)                                                  365   
assay (category)                                                        24   
assay_ontology_term_id (category)                                       24   
cell_type (category)                                                   649   
cell_type_ontology_term_id (category)                                  649   
development_stage (category)                                           176   
development_stage_ontology_term_id (category)                          176   
disease (category)                                                     107   
disease_ontology_term_id (category)                                    107   
donor_id (category)                                                   5958   
is_primary_data (bool)                                                   1   
observation_joinid (object)                                         499901   
self_reported_ethnicity (category)                                      31   
self_reported_ethnicity_ontology_term_id (category)                     31   
sex (category)                                                           3   
sex_ontology_term_id (category)                                          3   
suspension_type (category)                                               2   
tissue (category)                                                      262   
tissue_ontology_term_id (category)                                     262   
tissue_type (category)                                                   1   
tissue_general (category)                                               55   
tissue_general_ontology_term_id (category)                              55   
raw_sum (float64)                                                    47066   
nnz (int64)                                                          11037   
raw_mean_nnz (float64)                                              432654   
raw_variance_nnz (float64)                                          499665   
n_measured_vars (int64)                                                360   
dev_stage (object)                                                       7   

                                                     human_metadata_88.pkl  \
soma_joinid (int64)                                                 499968   
dataset_id (category)                                                  366   
assay (category)                                                        24   
assay_ontology_term_id (category)                                       24   
cell_type (category)                                                   647   
cell_type_ontology_term_id (category)                                  647   
development_stage (category)                                           176   
development_stage_ontology_term_id (category)                          176   
disease (category)                                                     107   
disease_ontology_term_id (category)                                    107   
donor_id (category)                                                   5959   
is_primary_data (bool)                                                   1   
observation_joinid (object)                                         499898   
self_reported_ethnicity (category)                                      31   
self_reported_ethnicity_ontology_term_id (category)                     31   
sex (category)                                                           3   
sex_ontology_term_id (category)                                          3   
suspension_type (category)                                               2   
tissue (category)                                                      259   
tissue_ontology_term_id (category)                                     259   
tissue_type (category)                                                   1   
tissue_general (category)                                               55   
tissue_general_ontology_term_id (category)                              55   
raw_sum (float64)                                                    46949   
nnz (int64)                                                          10990   
raw_mean_nnz (float64)                                              432837   
raw_variance_nnz (float64)                                          499692   
n_measured_vars (int64)                                                361   
dev_stage (object)                                                       7   

                                                     human_metadata_15.pkl  \
soma_joinid (int64)                                                 499968   
dataset_id (category)                                                  365   
assay (category)                                                        24   
assay_ontology_term_id (category)                                       24   
cell_type (category)                                                   643   
cell_type_ontology_term_id (category)                                  643   
development_stage (category)                                           176   
development_stage_ontology_term_id (category)                          176   
disease (category)                                                     107   
disease_ontology_term_id (category)                                    107   
donor_id (category)                                                   5942   
is_primary_data (bool)                                                   1   
observation_joinid (object)                                         499888   
self_reported_ethnicity (category)                                      31   
self_reported_ethnicity_ontology_term_id (category)                     31   
sex (category)                                                           3   
sex_ontology_term_id (category)                                          3   
suspension_type (category)                                               2   
tissue (category)                                                      262   
tissue_ontology_term_id (category)                                     262   
tissue_type (category)                                                   1   
tissue_general (category)                                               55   
tissue_general_ontology_term_id (category)                              55   
raw_sum (float64)                                                    46893   
nnz (int64)                                                          11026   
raw_mean_nnz (float64)                                              432470   
raw_variance_nnz (float64)                                          499692   
n_measured_vars (int64)                                                360   
dev_stage (object)                                                       7   

                                                     human_metadata_6.pkl  \
soma_joinid (int64)                                                499968   
dataset_id (category)                                                 367   
assay (category)                                                       24   
assay_ontology_term_id (category)                                      24   
cell_type (category)                                                  647   
cell_type_ontology_term_id (category)                                 647   
development_stage (category)                                          176   
development_stage_ontology_term_id (category)                         176   
disease (category)                                                    107   
disease_ontology_term_id (category)                                   107   
donor_id (category)                                                  5949   
is_primary_data (bool)                                                  1   
observation_joinid (object)                                        499897   
self_reported_ethnicity (category)                                     31   
self_reported_ethnicity_ontology_term_id (category)                    31   
sex (category)                                                          3   
sex_ontology_term_id (category)                                         3   
suspension_type (category)                                              2   
tissue (category)                                                     262   
tissue_ontology_term_id (category)                                    262   
tissue_type (category)                                                  1   
tissue_general (category)                                              55   
tissue_general_ontology_term_id (category)                             55   
raw_sum (float64)                                                   47052   
nnz (int64)                                                         11019   
raw_mean_nnz (float64)                                             432868   
raw_variance_nnz (float64)                                         499687   
n_measured_vars (int64)                                               362   
dev_stage (object)                                                      7   

                                                     human_metadata_77.pkl  \
soma_joinid (int64)                                                 499968   
dataset_id (category)                                                  365   
assay (category)                                                        24   
assay_ontology_term_id (category)                                       24   
cell_type (category)                                                   656   
cell_type_ontology_term_id (category)                                  656   
development_stage (category)                                           176   
development_stage_ontology_term_id (category)                          176   
